ID,command,status,attached to process,attached to gpu,process alive,expected_cpu_usage (in %),expected_gpu_usage (in MB),timestamp_started,last_timestamp
1,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_within_domain                 --model_dir ""baselines/finetuning""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/baseline/WD/baseline_k_1.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_within_domain_finetuning_baseline_k_1.log
                ",waiting, , , ,1800,3500, , 
2,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_within_domain                 --model_dir ""baselines/finetuning""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/baseline/WD/baseline_k_10.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_within_domain_finetuning_baseline_k_10.log
                ",waiting, , , ,1800,3500, , 
3,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_within_domain                 --model_dir ""baselines/finetuning""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/dropout/WD/dropout_k_5.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_within_domain_finetuning_dropout_k_5.log
                ",waiting, , , ,1800,3500, , 
4,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_within_domain                 --model_dir ""baselines/maml""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/baseline/WD/baseline_k_1.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_within_domain_maml_baseline_k_1.log
                ",waiting, , , ,1800,3500, , 
5,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_within_domain                 --model_dir ""baselines/maml""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/baseline/WD/baseline_k_10.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_within_domain_maml_baseline_k_10.log
                ",waiting, , , ,1800,3500, , 
6,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_within_domain                 --model_dir ""baselines/maml""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/dropout/WD/dropout_k_5.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_within_domain_maml_dropout_k_5.log
                ",waiting, , , ,1800,3500, , 
7,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_cross_domain                 --model_dir ""baselines/finetuning""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/baseline/WD/baseline_k_1.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_cross_domain_finetuning_baseline_k_1.log
                ",waiting, , , ,1800,3500, , 
8,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_cross_domain                 --model_dir ""baselines/finetuning""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/baseline/WD/baseline_k_10.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_cross_domain_finetuning_baseline_k_10.log
                ",waiting, , , ,1800,3500, , 
9,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_cross_domain                 --model_dir ""baselines/finetuning""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/dropout/WD/dropout_k_5.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_cross_domain_finetuning_dropout_k_5.log
                ",waiting, , , ,1800,3500, , 
10,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_cross_domain                 --model_dir ""baselines/maml""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/baseline/WD/baseline_k_1.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_cross_domain_maml_baseline_k_1.log
                ",waiting, , , ,1800,3500, , 
