ID,command,status,attached to process,attached to gpu,process alive,expected_cpu_usage (in %),expected_gpu_usage (in MB),timestamp_started,last_timestamp
1,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_within_domain                 --model_dir ""baselines/finetuning""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/baseline/WD/baseline_k_5.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_within_domain_finetuning_baseline_k_5.log
                ",exited,655753.0,0.0,False,1800,3500,2024-03-16 17:16:30.904497,2024-03-16 17:56:35.129617
2,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_within_domain                 --model_dir ""baselines/finetuning""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/dropout/WD/dropout_k_1.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_within_domain_finetuning_dropout_k_1.log
                ",exited,688735.0,0.0,False,1800,3500,2024-03-16 17:21:31.433903,2024-03-16 17:56:35.135453
3,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_within_domain                 --model_dir ""baselines/finetuning""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/dropout/WD/dropout_k_10.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_within_domain_finetuning_dropout_k_10.log
                ",exited,1303259.0,0.0,False,1800,3500,2024-03-16 18:01:35.716915,2024-03-16 18:41:39.760828
4,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_within_domain                 --model_dir ""baselines/maml""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/baseline/WD/baseline_k_5.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_within_domain_maml_baseline_k_5.log
                ",exited,1334350.0,0.0,False,1800,3500,2024-03-16 18:06:36.246453,2024-03-16 20:26:49.756512
5,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_within_domain                 --model_dir ""baselines/maml""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/dropout/WD/dropout_k_1.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_within_domain_maml_dropout_k_1.log
                ",exited,1625379.0,0.0,False,1800,3500,2024-03-16 18:46:40.232583,2024-03-16 21:21:55.209334
6,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_within_domain                 --model_dir ""baselines/maml""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/dropout/WD/dropout_k_10.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_within_domain_maml_dropout_k_10.log
                ",exited,1627909.0,0.0,False,1800,3500,2024-03-16 20:16:48.797002,2024-03-16 23:32:07.898957
7,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_cross_domain                 --model_dir ""baselines/finetuning""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/baseline/WD/baseline_k_5.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_cross_domain_finetuning_baseline_k_5.log
                ",exited,1628400.0,0.0,False,1800,3500,2024-03-16 20:31:50.271991,2024-03-16 21:16:54.682979
8,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_cross_domain                 --model_dir ""baselines/finetuning""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/dropout/WD/dropout_k_1.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_cross_domain_finetuning_dropout_k_1.log
                ",exited,1630866.0,0.0,False,1800,3500,2024-03-16 21:21:55.205282,2024-03-16 22:01:59.207365
9,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_cross_domain                 --model_dir ""baselines/finetuning""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/dropout/WD/dropout_k_10.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_cross_domain_finetuning_dropout_k_10.log
                ",exited,1631268.0,0.0,False,1800,3500,2024-03-16 21:26:55.681927,2024-03-16 22:06:59.685129
10,"/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/isolated_run.sh                 /visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/scripts/train/train.sh                 --datasets_dir ""/fastdata/vilab24/meta-album""                 --run_cross_domain                 --model_dir ""baselines/maml""                 --config_path ""/visinf/home/vilab25/Confidence-based-generative-data-Augmentation-for-Meta-Learning/configs/train/baseline/WD/baseline_k_5.yml""                 --output_dir ""/fastdata/vilab25/output/scheduler/training""                 --log_file /visinf/home/vilab25/logs/train_run_cross_domain_maml_baseline_k_5.log
                ",exited,1634048.0,0.0,False,1800,3500,2024-03-16 22:12:00.129144,2024-03-16 23:02:05.012932
